"ENSG_id","Symbol"
"ENSG00000235545.1","RP11-230B22.1"
"ENSG00000234318.1","RP4-771M4.3"
"ENSG00000229537.4","RP11-5P4.1"
"ENSG00000227485.1","RP11-5P4.2"
"ENSG00000229225.1","RP11-5P4.3"
"ENSG00000203605.3","RP11-335E6.2"
"ENSG00000271593.1","RP11-335E6.4"
"ENSG00000224209.5","LINC00466"
"ENSG00000228734.2","RP11-335E6.3"
"ENSG00000230798.4","FOXD3-AS1"
"ENSG00000116652.6","DLEU2L"
"ENSG00000223949.5","ROR1-AS1"
"ENSG00000226891.5","LINC01359"
"ENSG00000272506.1","RP4-535B20.4"
"ENSG00000231485.1","RP4-535B20.1"
"ENSG00000229294.1","RP5-1044H5.1"
"ENSG00000237852.1","RP4-630A11.3"
"ENSG00000227466.1","RP11-397C12.1"
"ENSG00000248458.2","RP4-598P13.1"
"ENSG00000231080.1","RP11-342H21.2"
"ENSG00000275678.1","RP4-547N15.3"
"ENSG00000235200.1","RP4-763G1.2"
"ENSG00000232284.6","GNG12-AS1"
"ENSG00000233589.1","RP4-694A7.2"
"ENSG00000234264.1","DEPDC1-AS1"
"ENSG00000223883.1","RP11-424D14.1"
"ENSG00000235446.1","RP11-74K19.1"
"ENSG00000229639.1","RP3-380B4.1"
"ENSG00000237919.4","RP11-181B18.1"
"ENSG00000228988.1","RP4-677H15.4"
"ENSG00000226088.1","RP11-180O5.2"
"ENSG00000271992.1","RP11-42O15.3"
"ENSG00000229051.1","RP5-952N6.1"
"ENSG00000226208.1","RP11-99H8.1"
"ENSG00000235782.1","RP3-333A15.1"
"ENSG00000269933.1","RP3-333A15.2"
"ENSG00000235079.1","ZRANB2-AS1"
"ENSG00000229956.8","ZRANB2-AS2"
"ENSG00000237726.1","RP11-386O9.2"
"ENSG00000231985.1","RP11-82L20.1"
"ENSG00000228853.1","NEGR1-IT1"
"ENSG00000225087.1","RP4-660H19.1"
"ENSG00000227016.2","RP11-262K1.1"
"ENSG00000280317.1","RP11-25L19.1"
"ENSG00000233973.4","LINC01360"
"ENSG00000223479.3","RP4-788P17.1"
"ENSG00000237324.3","RP11-439H8.4"
"ENSG00000233894.1","RP4-650F12.2"
"ENSG00000234497.4","ERICH3-AS1"
"ENSG00000272864.1","RP11-17E13.2"
"ENSG00000229943.1","RP11-93N20.1"
"ENSG00000261213.1","RP11-510C10.4"
"ENSG00000224127.1","RP11-510C10.2"
"ENSG00000224149.1","RP11-510C10.3"
"ENSG00000178193.5","RP4-682C21.5"
"ENSG00000225605.1","RP11-550H2.1"
"ENSG00000230027.1","RP11-550H2.2"
"ENSG00000272855.1","RP5-1102E8.3"
"ENSG00000237552.1","RP11-415A20.1"
"ENSG00000230498.1","RP4-564M11.2"
"ENSG00000233099.1","RP11-375A5.1"
"ENSG00000235927.4","NEXN-AS1"
"ENSG00000273338.1","RP11-386I14.4"
"ENSG00000237413.4","MGC27382"
"ENSG00000235011.2","RP4-726F1.1"
"ENSG00000260322.1","RP11-339A11.2"
"ENSG00000225598.1","RP11-339D23.1"
"ENSG00000224326.1","RP5-933B4.1"
"ENSG00000234184.4","RP5-887A10.1"
"ENSG00000227960.1","RP5-837I24.6"
"ENSG00000234953.2","RP5-837I24.2"
"ENSG00000236676.1","RP5-837I24.4"
"ENSG00000233290.1","RP11-147G16.1"
"ENSG00000230817.4","LINC01362"
"ENSG00000236268.4","LINC01361"
"ENSG00000231364.1","RP11-413G15.1"
"ENSG00000233008.4","RP11-475O6.1"
"ENSG00000237076.1","RP5-836J3.1"
"ENSG00000233061.1","TTLL7-IT1"
"ENSG00000271576.1","RP11-486G15.2"
"ENSG00000180869.4","LINC01555"
"ENSG00000280099.1","RP11-33E12.2"
"ENSG00000223653.4","RP11-131L23.1"
"ENSG00000273264.1","RP11-131L23.2"
"ENSG00000272691.1","RP11-290M5.4"
"ENSG00000230285.1","RP11-290M5.2"
"ENSG00000236915.1","RP4-651E10.4"
"ENSG00000261737.1","RP4-612B15.3"
"ENSG00000267734.1","RP4-604K5.3"
"ENSG00000224198.1","RP4-604K5.2"
"ENSG00000267272.4","LINC01140"
"ENSG00000227290.1","LINC01364"
"ENSG00000279778.1","RP11-60A14.1"
"ENSG00000224235.1","RP5-1027O11.1"
"ENSG00000237505.5","PKN2-AS1"
"ENSG00000237568.1","RP4-620F22.2"
"ENSG00000231999.5","FLJ27354"
"ENSG00000230735.1","RP11-413E1.4"
"ENSG00000231613.1","RP5-943J3.1"
"ENSG00000272931.1","RP5-943J3.2"
"ENSG00000272672.1","RP11-302M6.5"
"ENSG00000229201.1","RP5-827O9.1"
"ENSG00000233593.5","RP4-665J23.1"
"ENSG00000225446.1","RP4-665J23.2"
"ENSG00000272094.1","RP4-665J23.4"
"ENSG00000273487.1","RP4-621B10.8"
"ENSG00000223745.6","RP4-717I23.3"
"ENSG00000224093.4","RP5-1033H22.2"
"ENSG00000230439.2","RP11-488P3.1"
"ENSG00000260464.1","RP4-561L24.3"
"ENSG00000233482.1","RP11-78O9.1"
"ENSG00000231363.1","RP11-148B18.1"
"ENSG00000236098.1","RP11-148B18.4"
"ENSG00000226835.1","RP11-148B18.3"
"ENSG00000223675.1","RP11-86H7.6"
"ENSG00000235565.1","RP11-86H7.7"
"ENSG00000224081.6","LINC01057"
"ENSG00000237416.5","RP11-465K1.2"
"ENSG00000235501.4","RP4-639F20.1"
"ENSG00000230427.1","RP11-313A24.1"
"ENSG00000231992.1","RP11-57H12.2"
"ENSG00000226026.4","RP11-57H12.3"
"ENSG00000228852.5","RP11-57H12.5"
"ENSG00000228504.1","RP4-586O15.1"
"ENSG00000230434.1","RP11-14O19.1"
"ENSG00000237954.6","RP11-14O19.2"
"ENSG00000233907.1","FLJ31662"
"ENSG00000228971.2","RP11-286B14.1"
"ENSG00000271252.1","RP11-286B14.2"
"ENSG00000237435.7","RP11-147C23.1"
"ENSG00000231987.1","RP5-898J17.1"
"ENSG00000232878.2","DPYD-AS1"
"ENSG00000232542.1","DPYD-IT1"
"ENSG00000235777.1","DPYD-AS2"
"ENSG00000269998.1","RP11-272L13.3"
"ENSG00000259946.1","RP11-490G2.2"
"ENSG00000225206.5","MIR137HG"
"ENSG00000226053.1","RP5-1070A16.1"
"ENSG00000280040.1","RP11-296E3.2"
"ENSG00000232825.1","RP5-896L10.1"
"ENSG00000224445.2","RP11-413P11.1"
"ENSG00000228084.1","RP5-884G6.2"
"ENSG00000261254.2","RP4-714D9.5"
"ENSG00000241073.1","RP4-714D9.2"
"ENSG00000224616.1","RTCA-AS1"
"ENSG00000223906.1","RP5-837M10.2"
"ENSG00000228086.1","RP5-837M10.4"
"ENSG00000230402.2","LINC01349"
"ENSG00000273204.1","RP4-549L20.3"
"ENSG00000235795.1","RP11-421L21.2"
"ENSG00000233184.5","RP11-421L21.3"
"ENSG00000225938.1","RP4-575N6.4"
"ENSG00000260940.1","RP4-575N6.5"
"ENSG00000231671.1","LINC01307"
"ENSG00000226715.1","RP11-411H5.1"
"ENSG00000233359.1","RP11-202K23.1"
"ENSG00000230864.1","RP5-936J12.1"
"ENSG00000230759.1","RP11-153F1.2"
"ENSG00000224613.5","RP11-153F1.1"
"ENSG00000215869.3","RP11-364B6.1"
"ENSG00000230768.6","RP11-251P6.1"
"ENSG00000233047.4","RP11-24P14.1"
"ENSG00000237480.1","RP5-947P14.1"
"ENSG00000237460.2","RP11-233E12.1"
"ENSG00000230489.1","VAV3-AS1"
"ENSG00000226822.1","RP11-356N1.2"
"ENSG00000260879.1","RP11-483I13.5"
"ENSG00000280186.1","RP11-483I13.6"
"ENSG00000238122.1","RP11-483I13.2"
"ENSG00000224698.1","RP11-131J3.1"
"ENSG00000232971.2","RP11-293A10.3"
"ENSG00000203897.3","SPATA42"
"ENSG00000273382.1","RP5-1065J22.8"
"ENSG00000270066.3","SCARNA2"
"ENSG00000254942.1","RP5-1160K1.8"
"ENSG00000225113.1","RP5-1160K1.3"
"ENSG00000228703.1","RP5-1160K1.6"
"ENSG00000260246.1","AC000032.2"
"ENSG00000241720.2","RP4-735C1.4"
"ENSG00000228420.1","RP4-735C1.6"
"ENSG00000235005.1","RP11-195M16.1"
"ENSG00000261055.1","RP11-195M16.3"
"ENSG00000258634.3","RP4-773N10.4"
"ENSG00000258673.1","LINC01397"
"ENSG00000227091.1","RP5-1028L10.1"
"ENSG00000235526.1","RP5-1028L10.2"
"ENSG00000224965.1","KCNC4-AS1"
"ENSG00000227963.1","RP5-1074L1.1"
"ENSG00000224699.7","LAMTOR5-AS1"
"ENSG00000273373.1","RP5-1074L1.4"
"ENSG00000270380.1","RP11-470L19.5"
"ENSG00000235407.1","RP11-470L19.2"
"ENSG00000259834.1","RP11-284N8.3"
"ENSG00000261654.1","RP11-96K19.4"
"ENSG00000232811.1","RP11-96K19.2"
