logFC AveExpr t P.Value adj.P.Val B Symbol ENSG_id
ENSG00000227036.6 2.67171418841659 2.97121304065559 18.8333846207868 2.26412998871853e-63 2.46357367888026e-62 133.274852090535 LINC00511 ENSG00000227036.6
ENSG00000273018.5 -3.25542755379144 0.349893966130676 -18.8071767618657 3.06137137046674e-63 3.31920541979176e-62 132.973814029527 CTD-2303H24.2 ENSG00000273018.5
ENSG00000263400.6 -2.49791879271327 -0.525194634840929 -18.7600052058097 4.4099759846477e-63 4.73761856660569e-62 132.607612363854 TMEM220-AS1 ENSG00000263400.6
ENSG00000235501.5 -2.11442293506243 2.12515631848802 -18.6853982679652 1.0956202176814e-62 1.15745750836078e-61 131.700069316552 RP4-639F20.1 ENSG00000235501.5
ENSG00000269834.5 -2.29722660707741 -0.23949017852171 -18.655338292609 1.58040661821569e-62 1.6615508587788e-61 131.33471626586 ZNF528-AS1 ENSG00000269834.5
ENSG00000230415.1 -4.51687085329083 -1.39354332773525 -18.6203614482984 2.41995346338444e-62 2.53025291870662e-61 130.909826415189 RP5-902P8.10 ENSG00000230415.1
ENSG00000249249.1 -2.19815007169808 -0.369823287894153 -18.5505653718306 5.65898697714236e-62 5.8686503287768e-61 130.062686270508 AC010226.4 ENSG00000249249.1
ENSG00000203706.8 -2.85322215783574 1.71295686313879 -18.4152646442701 3.87628004790022e-61 3.90572339040409e-60 128.14688286118 SERTAD4-AS1 ENSG00000203706.8
ENSG00000230148.8 -2.33017396040489 -0.00555685160184679 -18.3419245694938 7.12954783824243e-61 7.13656510973676e-60 127.53621639653 HOXB-AS1 ENSG00000230148.8
ENSG00000272871.1 -2.1839026884737 -0.575249602936282 -18.3364330415024 7.62028221270905e-61 7.6177853967809e-60 127.469839682907 RP11-408A13.4 ENSG00000272871.1
ENSG00000272316.1 -1.99757616269756 -0.252019787484117 -18.3156245655605 9.80592622850254e-61 9.77708526900694e-60 127.218382572062 XXbac-BPGBPG55C20.2 ENSG00000272316.1
ENSG00000224195.1 -2.52043660852784 -0.137894217097377 -18.2424762549114 2.37775320512018e-60 2.34319283876669e-59 126.335155841047 RP11-574K11.5 ENSG00000224195.1
ENSG00000258232.2 2.38273895551842 5.9367945881056 18.2070902596697 3.64823305856839e-60 3.57672206352576e-59 125.908296669559 RP11-161H23.5 ENSG00000258232.2
ENSG00000249087.6 -1.98006448517115 0.829751104904367 -18.1188856418429 1.05925731465455e-59 1.02401586407193e-58 124.845461563214 ZNF436-AS1 ENSG00000249087.6
ENSG00000231064.5 -2.2236301816316 0.802540476106854 -18.1145205354268 1.11658505554414e-59 1.07875269299087e-58 124.792907335032 RP11-263K19.4 ENSG00000231064.5
ENSG00000269968.1 8.01442167683232 -3.26389606471339 18.0707957945135 1.89270525070998e-59 1.80683470585611e-58 124.266707850525 RP5-940J5.9 ENSG00000269968.1
ENSG00000274536.4 -2.68014035482558 -0.738499013554922 -18.0461873737472 2.54679101148635e-59 2.42668937415517e-58 123.97074577579 RP6-159A1.4 ENSG00000274536.4
