logFC AveExpr t P.Value adj.P.Val B Symbol
ENSG00000160801.13 -4.43627211571976 0.0577451577186917 -32.3326697710949 1.91122741718516e-137 2.97507900501629e-135 303.490273602242 PTH1R
ENSG00000187922.13 -5.21982261400166 -0.655535872952942 -32.25716762598 4.8785173539257e-137 7.51735174082187e-135 302.554938010338 LCN10
ENSG00000164109.13 3.74301915117278 2.84601866943872 32.1907062555407 1.11356351508443e-136 1.6987411422613e-134 301.731177131237 MAD2L1
ENSG00000168079.16 -5.6538401772852 1.31301736486974 -32.2818667265005 1.80088920368889e-136 2.72005592101723e-134 301.25728389048 SCARA5
ENSG00000152056.16 3.6739737587993 0.339084087906322 32.0800748815092 4.40281284174285e-136 6.58479508831246e-134 300.35907324409 AP1S3
ENSG00000121621.6 3.70473381971317 -0.542777150485086 31.9634865968587 1.87671790166284e-135 2.77954675629773e-133 298.911917163935 KIF18A
ENSG00000099953.9 3.96209239982305 3.28180118239052 31.9315687600138 3.0842104999523e-135 4.52400299776657e-133 298.416447757109 MMP11
ENSG00000163993.6 6.25827422286918 5.11616935127232 32.0314253470099 5.1737688670515e-135 7.51674705398768e-133 297.906695308191 S100P
ENSG00000206075.13 6.03187263321408 0.179351245039922 31.9241798980251 9.42809515087424e-135 1.35684520308101e-132 297.305000012224 SERPINB5
ENSG00000273604.1 3.02367630437001 0.0196173761172736 31.8319988806203 9.6417177457333e-135 1.37462060010431e-132 297.278394643282 C17orf96
ENSG00000237125.8 -6.93115855726047 0.974719830500144 -31.9775553981384 1.1350239992537e-134 1.60322139894585e-132 297.122987559774 HAND2-AS1
ENSG00000108018.15 -5.92692231633622 -1.36864012195089 -31.8068921832775 1.31808140734119e-134 1.84470934577889e-132 296.966314001827 SORCS1
ENSG00000139200.13 -3.86179608398029 -0.828242318359388 -31.7856649633425 1.71698514816295e-134 2.38114622138417e-132 296.7024135421 PIANP
ENSG00000015475.18 1.99341417506388 4.3681338008359 31.6609335933122 8.12481447558102e-134 1.11661301644134e-131 295.15095119385 BID
ENSG00000122641.9 4.49314874692563 -0.103906241053834 31.6259159461504 1.25728121383396e-133 1.7124843675926e-131 294.715148301645 INHBA
ENSG00000149294.16 -4.73908897869094 1.72149504448969 -31.6535885103463 2.43837593507531e-133 3.29180751235166e-131 294.057873722765 NCAM1
ENSG00000154263.17 -3.82113437733935 0.179915362782485 -31.5708290107248 2.49928997650732e-133 3.34444461329993e-131 294.029368419275 ABCA10
ENSG00000166451.13 3.05498404270086 2.69434967809549 31.4858651503234 7.21521291452924e-133 9.5711367835777e-131 292.971148985056 CENPN
ENSG00000088325.15 5.34983105904461 2.29284329824944 31.5531925152016 1.605814793318e-132 2.11178488552293e-130 292.178974419645 TPX2
ENSG00000075275.16 3.07684966052382 0.780320892429593 31.2905697658622 8.27124425692334e-132 1.07844300119116e-129 290.536483452972 CELSR1
ENSG00000079689.13 -5.97189760210876 -0.00819126908281688 -31.3544843792993 9.12735468356825e-132 1.17998131947317e-129 290.441704992707 SCGN
ENSG00000152785.6 -6.23579650552055 -0.665932093142203 -31.2927433656841 9.23958237905823e-132 1.18445234615574e-129 290.426520519482 BMP3
ENSG00000138180.15 5.06922538152294 1.12204042744052 31.3391479940911 1.3425527108763e-131 1.7067201337015e-129 290.057307042404 CEP55
ENSG00000204876.4 8.28123395386412 -2.19610554514984 31.2128970737639 2.18403723516442e-131 2.75351140681266e-129 289.567301127712 AC021218.2
ENSG00000186642.15 -4.02626582933828 1.92447816436262 -31.2147000271942 2.6889041335855e-131 3.36223217687269e-129 289.360641731454 PDE2A
ENSG00000104833.10 -5.10042999930006 -1.29723481231491 -31.1241633939549 6.62611277252482e-131 8.21799596299724e-129 288.459504908214 TUBB4A
ENSG00000171241.8 3.07643587086491 0.630748000279077 31.0741161582748 1.23946634992361e-130 1.52484348129715e-128 287.834411191236 SHCBP1
ENSG00000183742.12 6.20036586823581 -0.389855561724992 31.074760952129 2.18113505396078e-130 2.66185721985374e-128 287.272589937613 MACC1
ENSG00000224126.2 8.62042929684997 -1.43409979133681 31.0624120909965 2.68282994960829e-130 3.2481405461329e-128 287.06615762896 UBE2SP2
ENSG00000157766.15 4.39702725889897 -0.988739766768609 31.0082464895071 2.82701142808755e-130 3.39575270358075e-128 287.011390206005 ACAN
ENSG00000116194.12 -6.22160701948489 1.01968952813061 -31.1243036208739 3.80566746340613e-130 4.5355825901766e-128 286.721685451767 ANGPTL1
ENSG00000213886.3 5.63183975365532 2.94996628716725 31.1209641182892 3.9848789122344e-130 4.71235099272371e-128 286.675773397636 UBD
ENSG00000186462.8 -4.50491880117974 -1.35106750280211 -30.9261509569133 7.9038435887019e-130 9.2748564573575e-128 285.985152445748 NAP1L2
ENSG00000154262.12 -4.63082853635271 0.312892942660866 -30.8875461807562 1.28199302866835e-129 1.49288577498746e-127 285.502389633414 ABCA6
ENSG00000213366.12 -4.41696002653758 4.51778270853963 -30.9110105820112 1.75084998742222e-129 2.02342549682772e-127 285.193739872809 GSTM2
ENSG00000140263.13 3.12240047482695 3.4049286495161 30.8531764699881 1.97211609338766e-129 2.26200233117509e-127 285.072489755573 SORD
ENSG00000130226.16 -6.91874206959616 -1.42749500053283 -30.8441208507828 2.20913154416482e-129 2.51494788852495e-127 284.95920587856 DPP6
ENSG00000173175.14 -4.37857157773719 1.6254800544243 -30.8793954578806 2.62790448465129e-129 2.96953206765596e-127 284.788446943009 ADCY5
ENSG00000169432.14 -4.05424549130396 -1.09793285476893 -30.8293094775984 2.65977423514286e-129 2.98344529096355e-127 284.773905054339 SCN9A
ENSG00000107159.12 5.33270944801593 1.12390645140236 30.9244509701403 3.06877188187213e-129 3.40681036717116e-127 284.63656403221 CA9
ENSG00000146670.9 3.95655259848115 1.96547012610264 30.8339765165362 3.08187368514992e-129 3.40681036717116e-127 284.627720048459 CDCA5
ENSG00000139618.14 3.33445239250475 -0.280743838441127 30.8159370141553 3.14515336119145e-129 3.45174924640113e-127 284.606591448299 BRCA2
ENSG00000183734.4 5.83259685442625 1.60424920132406 30.9401529296911 3.72163229600672e-129 4.0552500482559e-127 284.445615713643 ASCL2
ENSG00000111846.15 -3.6130996258384 0.109599117392844 -30.7978759694105 3.94431949068562e-129 4.26741800215668e-127 284.380593344121 GCNT2
ENSG00000234743.1 8.11327958086227 -1.47122008699538 30.8070457118915 4.62305675141057e-129 4.96653033399777e-127 284.223226211085 EIF5AP4
