"ENSG_id","logFC","adj.P.Val","logrank.pvalue","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000278876.1",0.253764766142213,0.27844651350857,0.220847526641226,0.057,1.1,"(0.941-1.19)","0.89","0.344",0.89,0.344,"RP11-498C9.4"
"ENSG00000278922.1",-0.500596340559001,1.63675427943653e-08,0.360114076146646,0.2,1.2,"(0.933-1.59)","2.09","0.148",2.09,0.148,"AC002310.14"
"ENSG00000278970.1",-0.628292717820564,3.37465991115473e-10,0.0567325863690617,0.28,1.3,"(0.897-1.95)","1.99","0.158",1.99,0.158,"HEIH"
"ENSG00000278974.1",0.266302531068169,0.0125723372187929,0.19339826573977,-0.00095,1,"(0.907-1.1)","0","0.985",0,0.985,"RP11-756P10.6"
"ENSG00000278978.1",1.01803714497372,1.14394804845701e-14,0.418455371291355,-0.12,0.89,"(0.676-1.17)","0.67","0.413",0.67,0.413,"RP11-164P12.5"
"ENSG00000279059.1",-0.784668458491134,4.26889588286596e-16,0.80577859498825,0.048,1,"(0.793-1.39)","0.11","0.736",0.11,0.736,"RP11-257O5.2"
"ENSG00000279088.1",-1.46176991450353,1.70306538814921e-35,0.508852236213344,0.12,1.1,"(0.849-1.51)","0.71","0.4",0.71,0.4,"RP11-574K11.24"
"ENSG00000279095.1",0.683005774792858,1.48140350906856e-14,0.481241615138267,0.049,1.1,"(0.784-1.41)","0.11","0.742",0.11,0.742,"AC092066.1"
"ENSG00000279117.1",-1.32125179721707,5.63296438212764e-34,0.156540306047403,-0.15,0.86,"(0.678-1.09)","1.6","0.206",1.6,0.206,"CTD-2562J17.6"
"ENSG00000279207.1",-0.320786467852609,0.000418541226272551,0.616508761712413,-0.068,0.93,"(0.725-1.2)","0.27","0.601",0.27,0.601,"RP11-159D12.8"
"ENSG00000279253.1",-0.971710233786499,1.44095818610999e-20,0.238599937683721,0.12,1.1,"(0.924-1.39)","1.44","0.23",1.44,0.23,"RP4-614O4.13"
"ENSG00000279265.1",-0.237684581046768,0.0185196201213375,0.807668888741851,-0.013,0.99,"(0.879-1.11)","0.05","0.825",0.05,0.825,"AC000123.3"
"ENSG00000279332.1",-0.154178833854534,0.187776016857502,0.620891945894931,-0.0071,0.99,"(0.911-1.08)","0.03","0.871",0.03,0.871,"RP11-799B12.1"
"ENSG00000279382.1",-0.918214240266266,1.96196111350749e-15,0.949992139337371,0.044,1,"(0.895-1.22)","0.32","0.574",0.32,0.574,"RP11-449J21.3"
"ENSG00000279427.1",3.94538628641596,1.58679604195816e-44,0.947481142638002,0.0076,1,"(0.9-1.13)","0.02","0.895",0.02,0.895,"RP11-132F7.2"
"ENSG00000279453.1",-1.41591907643889,5.19307592844286e-37,0.539681708581712,0.1,1.1,"(0.879-1.4)","0.77","0.38",0.77,0.38,"RP3-425C14.4"
"ENSG00000279528.1",0.292574302175131,0.00303156241616893,0.149870022388736,-0.091,0.91,"(0.702-1.19)","0.45","0.5",0.45,0.5,"RP11-1148L6.8"
"ENSG00000279672.1",-0.577285175049303,7.64541836727278e-07,0.330583215084121,0.19,1.2,"(0.995-1.46)","3.66","0.0557",3.66,0.0557,"CMB9-55F22.1"
"ENSG00000280088.1",-0.449151641000797,1.25799238269992e-07,0.857637213982285,0.02,1,"(0.747-1.39)","0.02","0.902",0.02,0.902,"RP11-135F9.3"
"ENSG00000280099.1",-1.95116354273908,3.85851401738793e-44,0.997996829299451,-0.037,0.96,"(0.78-1.19)","0.11","0.735",0.11,0.735,"RP11-33E12.2"
"ENSG00000280120.1",-0.613652156610727,5.62695719693171e-11,0.362028633316903,0.024,1,"(0.814-1.29)","0.04","0.841",0.04,0.841,"RP11-546D6.3"
"ENSG00000280128.1",-0.970481706850773,3.35906420569725e-22,0.0557843888363807,0.16,1.2,"(0.926-1.49)","1.76","0.184",1.76,0.184,"XXbac-BPG283O16.9"
"ENSG00000280202.1",1.45726621995148,8.0666352195246e-23,0.469225351272363,-0.013,0.99,"(0.855-1.14)","0.03","0.855",0.03,0.855,"RP5-1180D12.1"
"ENSG00000280206.1",0.683537017968031,4.30066717163148e-10,0.471874093888373,-0.0058,0.99,"(0.726-1.36)","0","0.971",0,0.971,"CTB-193M12.5"
"ENSG00000280798.1",-1.54304642865724,2.47253901896331e-53,0.649988359856878,0.23,1.3,"(0.876-1.82)","1.56","0.212",1.56,0.212,"LINC00294"
"ENSG00000281332.1",-0.354785457792828,0.000116401969403935,0.506010778405373,0.12,1.1,"(0.887-1.44)","0.99","0.32",0.99,0.32,"LINC00997"
"ENSG00000281404.1",-1.46023973784728,3.87939290850131e-26,0.846580790506976,0.11,1.1,"(0.952-1.3)","1.77","0.183",1.77,0.183,"LINC01176"
"ENSG00000281468.1",0.0617555251529291,0.607411948294323,0.790053050518513,0.059,1.1,"(0.945-1.19)","1.01","0.315",1.01,0.315,"CTC-459F4.9"
"ENSG00000281649.1",0.487806623890043,3.48029819461874e-07,0.407334343924804,0.025,1,"(0.724-1.45)","0.02","0.887",0.02,0.887,"EBLN3"
