"","group","RP5.1021I20.1","RP11.440D17.3","MIR210HG","LINC00261","AC113189.5","CTB.25B13.12","AC114730.3"
"TCGA.A6.6654.01","Tumor",-1.1488,2.1734,2.6962,1.6512,2.0535,2.5388,2.8178
"GTEX.148VJ.2426.SM.5NQ9Y","NonTumor",2.1411,-0.394,3.6646,-3.0469,2.9356,2.9581,-1.5951
"GTEX.11DXX.1926.SM.5EGJK","NonTumor",0.4125,0.346,0.7321,-9.9658,4.1923,2.3019,-4.2934
"TCGA.CM.5349.01","Tumor",1.0293,0.9191,2.874,2.5188,2.6962,2.9692,0.2154
"GTEX.ZZ64.0826.SM.5E449","NonTumor",0.5859,-1.4305,1.3511,-1.5951,3.7475,2.2268,0.3573
"TCGA.AZ.6599.11","NonTumor",0.7058,1.7828,2.8994,2.5462,3.0481,2.8381,3.074
"GTEX.ZAJG.2626.SM.5S2NU","NonTumor",0.3346,0.8164,0.547,-6.5064,4.6312,2.4883,-1.4699
"GTEX.ZG7Y.1826.SM.4WWD3","NonTumor",2.7636,0.3685,2.1047,-1.3183,4.4797,2.6114,-1.1488
"TCGA.A6.2686.11","NonTumor",2.1766,1.5806,2.9525,1.334,2.7444,3.1011,2.609
"TCGA.AZ.6600.01","Tumor",-0.6873,2.5634,2.4727,2.2513,2.4985,3.1733,1.0642
"GTEX.11ONC.1926.SM.5GU75","NonTumor",1.2696,0.547,3.869,0.4233,3.3842,2.5487,1.1897
"TCGA.AA.3509.01","Tumor",-0.1031,-0.8339,2.9729,2.4623,1.7702,2.1606,-0.4131
"GTEX.13S86.1626.SM.5Q5C5","NonTumor",-9.9658,1.6045,2.2842,2.6984,3.5436,2.5213,3.5399
"TCGA.AZ.6606.01","Tumor",1.2636,1.3225,1.8643,2.7401,2.5828,2.9052,1.8918
"TCGA.WS.AB45.01","Tumor",-0.4521,0.0718,-0.1665,4.6201,2.5263,2.4225,-0.3201
"GTEX.ZYFD.2226.SM.5E43P","NonTumor",-0.6873,-1.1488,0.2277,-5.0116,3.2766,0.537,-2.7274
"TCGA.AD.6548.01","Tumor",-0.3383,-1.3921,3.47,0.5859,1.949,1.9601,1.642
"GTEX.YECK.2826.SM.5IFHF","NonTumor",2.0912,0.1257,1.5366,-3.816,4.0969,3.0481,-2.2447
"GTEX.ZF28.2526.SM.57WFH","NonTumor",0.2881,0.605,2.3816,-4.035,4.3639,2.4035,-1.9942
"GTEX.13X6K.2726.SM.5O9DG","NonTumor",2.4753,0.8883,1.674,-3.3076,3.29,2.676,-3.458
"GTEX.139T6.1326.SM.5IFFO","NonTumor",2.6114,1.0079,3.867,2.1509,2.8622,2.004,2.6962
"GTEX.XXEK.1926.SM.4BRVD","NonTumor",3.0323,0.8327,0.8726,-6.5064,3.907,1.8996,-1.8836
"TCGA.D5.6926.01","Tumor",-0.5543,-0.1828,3.6894,0.0854,2.5996,2.0111,-1.4305
"GTEX.111CU.1426.SM.5GZYP","NonTumor",-0.3383,0.3907,3.8075,2.9013,2.167,2.6138,2.8622
"TCGA.AZ.6598.11","NonTumor",1.3511,1.1512,2.0946,0.9191,2.96,2.9375,2.6114
