"","ENSG_id","logFC","adj.P.Val","logrank.pvalue","beta","HR","CI","wald.test","HR.pvalue","Symbol"
"98","ENSG00000236935.1",3.87998737489949,2.59767148216378e-28,0.52048551248159,-0.025,0.97," (0.914-1.04)",0.59,0.441,"AP003774.1"
"99","ENSG00000237310.1",0.515226429267197,4.00582893896488e-07,0.145575508869455,0.23,1.3," (1.01-1.56)",4.28,0.0386,"GS1-124K5.4"
"100","ENSG00000237361.2",4.98370988416765,1.08386333330253e-45,0.986204125594565,-0.03,0.97," (0.912-1.03)",0.95,0.331,"TUSC8"
"101","ENSG00000237424.1",1.47866679517821,4.40269540646004e-21,0.452264390035039,0.099,1.1," (0.887-1.37)",0.78,0.377,"FOXD2-AS1"
"102","ENSG00000237476.1",0.138647418245724,0.308879797517533,0.778082909044306,0.045,1," (0.838-1.31)",0.16,0.689,"XXbac-B135H6.15"
"103","ENSG00000237523.1",1.02131480861969,2.69859426980185e-25,0.341966658491713,0.12,1.1," (0.9-1.42)",1.1,0.295,"LINC00857"
"104","ENSG00000237883.1",0.935277323659641,7.9793298716135e-15,0.470383345915476,0.044,1," (0.862-1.27)",0.2,0.655,"DGUOK-AS1"
"105","ENSG00000238142.1",-0.49816262760301,0.00022836225834812,0.846402461796776,0.012,1," (0.902-1.14)",0.04,0.839,"RP11-108M9.4"
"106","ENSG00000238279.1",0.494888703495333,1.54486176663819e-05,0.232528005519462,0.18,1.2," (1.02-1.42)",4.68,0.0306,"BX470102.3"
"107","ENSG00000239569.3",-0.685921750997017,3.66987529865645e-12,0.0785296920103618,0.37,1.4," (1.12-1.86)",8.17,0.00427,"KMT2E-AS1"
"108","ENSG00000239911.2",-1.39168617910258,8.19131267738196e-25,0.716903834413966,0.073,1.1," (0.953-1.21)",1.4,0.237,"PRKAG2-AS1"
"109","ENSG00000240731.1",-1.62157525800402,1.59230491670178e-41,0.0222186530900013,0.19,1.2," (0.955-1.52)",2.47,0.116,"RP5-890O3.9"
