term beta HR CI wald.test HR.pvalue
1 stageii 1.01587244451488 2.76177183930008 0.635410098470738-12.0038754667388 1.3550643287139 0.175397062485938
2 stageiii 1.66435154582237 5.28224684391402 1.23629113231786-22.5692241824361 2.24623947305361 0.0246886731388811
3 stageiv 2.79134667145708 16.3029597560871 3.85338754211852-68.9747641272723 3.79295728808667 0.000148863769451705
230 EMX2OS -0.12 0.88  (0.564-1.39) 0.29 0.593
231 LINC01315 -0.06 0.94  (0.859-1.03) 1.58 0.208
232 TFAP2A.AS1 -0.013 0.99  (0.726-1.34) 0.01 0.932
233 FLJ31356 0.058 1.1  (0.442-2.54) 0.02 0.897
234 TOB1.AS1 0.37 1.4  (0.815-2.58) 1.6 0.206
235 ALMS1.IT1 0.17 1.2  (0.816-1.71) 0.78 0.377
236 TRPM2.AS 0.041 1  (0.929-1.17) 0.49 0.483
237 PRRT3.AS1 -0.032 0.97  (0.886-1.06) 0.51 0.475
238 TMEM254.AS1 1.1 3  (0.729-12) 2.3 0.129
239 HOXB.AS1 0.4 1.5  (0.842-2.63) 1.87 0.171
240 SERPINB9P1 0.14 1.2  (0.931-1.43) 1.7 0.192
241 PSMG3.AS1 -0.0077 0.99  (0.573-1.72) 0 0.978
242 THAP7.AS1 -0.074 0.93  (0.397-2.17) 0.03 0.865
243 LIMD1.AS1 0.56 1.7  (0.0118-257) 0.05 0.827
244 FTX -0.066 0.94  (0.755-1.16) 0.37 0.543
245 DNM3OS -0.072 0.93  (0.71-1.22) 0.27 0.601
246 FOXD3.AS1 1.5 4.4  (1.66-11.6) 8.87 0.00289
247 ZNF674.AS1 0.28 1.3  (1.05-1.66) 5.59 0.0181
248 RP3.525N10.2 -0.47 0.63  (0.00135-290) 0.02 0.881
249 RP11.263K19.4 0.29 1.3  (0.742-2.43) 0.95 0.331
250 HCG18 -0.035 0.97  (0.818-1.14) 0.18 0.676
251 MORF4L2.AS1 0.3 1.3  (0.761-2.39) 1.05 0.306
252 KLF3.AS1 0.52 1.7  (0.813-3.5) 1.97 0.16
253 LINC00852 -0.18 0.83  (0.531-1.3) 0.66 0.418
254 ITPR1.AS1 2 7.5  (2.85-19.7) 16.7 4.43e-05
255 LINC00689 5.6 270  (2.35-31900) 5.34 0.0208
256 AC005224.2 -0.097 0.91  (0.318-2.59) 0.03 0.856
257 DLEU2 -0.03 0.97  (0.836-1.13) 0.15 0.695
258 LINC00899 0.7 2  (1.05-3.86) 4.4 0.036
259 LINC.PINT 7e-04 1  (0.879-1.14) 0 0.992
260 DLX6.AS1 -0.11 0.89  (0.334-2.38) 0.05 0.819
261 LINC01354 2.4 11  (0.375-343) 1.95 0.163
262 TMEM44.AS1 0.12 1.1  (0.986-1.28) 3.07 0.0798
263 TRAF3IP2.AS1 -0.11 0.9  (0.496-1.62) 0.13 0.718
264 FLJ27354 -0.16 0.85  (0.372-1.96) 0.14 0.711
265 RAP2C.AS1 -0.11 0.89  (0.395-2.02) 0.08 0.784
266 LINC00202.1 -0.35 0.7  (0.0749-6.59) 0.1 0.757
267 LINC00865 0.56 1.8  (0.958-3.2) 3.31 0.0687
268 RP4.794H19.1 0.071 1.1  (0.717-1.61) 0.12 0.731
269 KIAA1614.AS1 -1.3 0.27  (0.0062-11.8) 0.46 0.497
270 RP11.1114A5.4 0.18 1.2  (0.86-1.67) 1.14 0.287
271 LINC00665 0.076 1.1  (0.942-1.24) 1.21 0.271
272 SLCO4A1.AS1 0.00024 1  (0.984-1.02) 0 0.976
273 SMG7.AS1 0.82 2.3  (0.639-8.07) 1.61 0.205
274 LINC00342 0.057 1.1  (0.984-1.14) 2.34 0.126
275 CYP1B1.AS1 -0.53 0.59  (0.00884-39.4) 0.06 0.806
276 LINC00884 0.39 1.5  (0.646-3.36) 0.85 0.358
277 LINC00892 1.2 3.5  (0.657-18.3) 2.15 0.143
278 HOXB.AS3 0.00025 1  (0.967-1.03) 0 0.988
279 LINC00702 0.046 1  (0.531-2.07) 0.02 0.895
280 LINC00472 -1.6 0.19  (0.00279-13.3) 0.58 0.446
281 CHRM3.AS2 -0.029 0.97  (0.731-1.29) 0.04 0.84
282 HOTAIRM1 0.046 1  (0.963-1.14) 1.17 0.279
283 STXBP5.AS1 0.36 1.4  (0.596-3.48) 0.66 0.418
284 RP11.295G20.2 -0.017 0.98  (0.911-1.06) 0.2 0.657
285 LINC00460 0.0086 1  (0.956-1.06) 0.1 0.751
286 AC016831.7 -0.13 0.88  (0.75-1.02) 2.79 0.0946
287 LINC01137 -0.023 0.98  (0.841-1.13) 0.09 0.758
288 GAS6.AS1 0.058 1.1  (0.988-1.14) 2.65 0.103
289 TTTY15 0.021 1  (0.735-1.42) 0.02 0.902
290 DLG5.AS1 0.35 1.4  (0.812-2.46) 1.5 0.221
291 AL133493.2 0.18 1.2  (0.878-1.62) 1.27 0.26
