"ENSG_id","beta","HR","CI","wald.test","HR.pvalue","Symbol"
"ENSG00000226332.2",0.25,1.3," (1.05-1.59)",5.7,0.017,"RP11-157P1.4"
"ENSG00000273576.1",0.19,1.2," (0.978-1.49)",3.07,0.0799,"RP11-390P24.1"
"ENSG00000270933.1",0.061,1.1," (0.922-1.23)",0.71,0.4,"CTD-2227E11.1"
"ENSG00000261373.1",0.14,1.2," (0.943-1.4)",1.92,0.166,"VPS9D1-AS1"
"ENSG00000260219.2",0.15,1.2," (0.896-1.52)",1.3,0.255,"RP11-347C12.10"
"ENSG00000259985.1",-0.34,0.71," (0.557-0.903)",7.81,0.00521,"RP11-549B18.1"
"ENSG00000254614.2",0.059,1.1," (0.863-1.3)",0.31,0.576,"AP003068.23"
"ENSG00000241764.3",0.28,1.3," (0.955-1.84)",2.83,0.0925,"AC002467.7"
"ENSG00000153363.11",0.043,1," (0.794-1.37)",0.09,0.758,"LINC00467"
"ENSG00000224093.4",0.0098,1," (0.767-1.33)",0,0.945,"RP5-1033H22.2"
"ENSG00000259974.2",-0.11,0.9," (0.822-0.985)",5.24,0.0221,"LINC00261"
"ENSG00000255135.3",0.19,1.2," (0.924-1.57)",1.9,0.168,"RP11-111M22.3"
"ENSG00000224536.1",0.055,1.1," (0.881-1.27)",0.35,0.553,"RP11-134G8.7"
"ENSG00000277978.1",0.1,1.1," (0.901-1.36)",0.93,0.335,"RP11-403P17.6"
"ENSG00000269973.1",-0.12,0.89," (0.625-1.26)",0.46,0.498,"RP11-95D17.1"
"ENSG00000233834.5",0.086,1.1," (0.887-1.34)",0.67,0.412,"AC005083.1"
"ENSG00000275180.1",0.099,1.1," (0.939-1.3)",1.43,0.232,"RP11-631N16.4"
"ENSG00000231113.2",0.28,1.3," (0.974-1.81)",3.23,0.0725,"RP3-475N16.1"
"ENSG00000231770.4",0.19,1.2," (0.893-1.63)",1.49,0.222,"TMEM44-AS1"
